nombre de noeuds,degre moyen,distance moyenne,dynamique de propagation,proportion propagation,nombre de honeypots,nombre de smart honeypots,probabilite I -> S,probabilite S -> R,degre du noeud source,epidemic peak,time to extinction
35,11.071428571428571,2.8974789915966386,1,0,3,0,0.20499277851197042,0.1994863034652558,6,8,33
40,12.325,3.141025641025641,1,0,23,18,0.2619745003825339,0.07548473366885829,3,4,56
59,17.279661016949152,3.3465809468147283,1,0,1,0,0.22396908672122404,0.11389912377281802,10,7,45
94,26.01595744680851,4.233813772592084,1,0,7,0,0.15935628377018685,0.15630958910064174,4,11,46
72,20.51388888888889,3.8603286384976525,1,0,40,15,0.08771730464977073,0.1761054071442534,5,3,31
67,19.246268656716417,3.6951605608322025,1,0,9,3,0.06155429456222687,0.03620797118204449,7,44,267
76,21.486842105263158,4.027368421052632,1,0,8,0,0.18294929979085445,0.010776354846100511,6,57,996
52,15.461538461538462,3.2677224736048265,1,0,21,2,0.2819560599786607,0.049414663531112527,5,1,120
72,20.47222222222222,3.881455399061033,1,0,35,16,0.20574511711854093,0.09165425360338003,6,3,39
76,21.5,3.9133333333333336,1,0,11,6,0.19401725425151736,0.0632757217401528,3,26,65
33,10.606060606060606,2.6931818181818183,1,0,0,0,0.2047502538962543,0.14389952741758916,4,6,38
76,21.526315789473685,3.8803508771929827,1,0,5,4,0.22731091333658973,0.11573867291278024,6,22,51
32,10.40625,2.588709677419355,1,0,11,11,0.2857644021027451,0.06338532213196034,5,11,63
82,23.054878048780488,3.9445950015055704,1,0,20,10,0.2397625408525685,0.09304305318259581,7,15,65
35,11.157142857142857,2.757983193277311,1,0,0,0,0.2025525837705189,0.01107127708137523,4,32,1058
88,24.568181818181817,4.086990595611285,1,0,13,9,0.2988532694560999,0.1283913568115623,5,5,28
97,26.77319587628866,4.451460481099656,1,0,50,28,0.06592777290300203,0.05017732002080151,9,63,139
26,8.788461538461538,2.3723076923076922,1,0,1,1,0.2012047282326597,0.10558401726072808,5,9,79
57,16.75438596491228,3.418546365914787,1,0,40,23,0.13871291444422137,0.013524635158612443,5,23,250
97,26.835051546391753,4.290592783505154,1,0,80,75,0.048522802083676014,0.0944213484258555,3,1,56
27,9.055555555555555,2.438746438746439,1,0,6,3,0.1785438738054774,0.031091134007621313,4,25,243
94,26.04787234042553,4.3138869823838935,1,0,46,4,0.09862682889303023,0.07482666904211636,5,2,61
25,8.48,2.45,1,0,19,16,0.28085472436995806,0.1809240454419382,5,1,25
63,18.261904761904763,3.574500768049155,1,0,8,6,0.019215799303338475,0.14103097003722823,4,13,107
79,22.29746835443038,3.905550146056475,1,0,35,3,0.1442941191631189,0.055340899775959775,5,7,67
64,18.5,3.579861111111111,1,0,48,30,0.2014874053622583,0.019289930205890805,5,2,229
29,9.655172413793103,2.4408866995073892,1,0,19,17,0.25181678133020524,0.17008593101997407,6,2,25
79,22.28481012658228,3.938331710483609,1,0,5,4,0.1656013923788923,0.10873551888411986,5,15,59
66,19.022727272727273,3.6317016317016315,1,0,25,21,0.1852781004083263,0.05049253134632146,4,26,110
32,10.40625,2.536290322580645,1,0,15,8,0.28964324640129835,0.15934238758737448,5,1,36
39,12.08974358974359,3.080971659919028,1,0,5,1,0.03670004684019998,0.15867253559780126,4,17,66
42,12.916666666666666,2.9639953542392568,1,0,11,8,0.047832915403666625,0.10396071248641309,7,9,64
68,19.544117647058822,3.633889376646181,1,0,2,2,0.27529083809814037,0.06727640276921656,6,15,179
97,26.814432989690722,4.3603951890034365,1,0,70,60,0.030196135380320316,0.020862145062995486,6,1,244
80,22.525,4.066772151898734,1,0,67,59,0.23719028198286032,0.19608139955463585,6,1,20
41,12.585365853658537,3.0585365853658537,1,0,12,7,0.10607997870297405,0.1747717645331425,7,9,27
79,22.272151898734176,3.9662447257383966,1,0,62,23,0.05187870194717396,0.1106386900658065,8,4,37
80,22.55,4.038607594936709,1,0,28,13,0.02018832893243869,0.04463230883316863,6,44,142
35,11.1,2.764705882352941,1,0,20,10,0.18366942175770015,0.011897635802978514,3,2,377
23,8.152173913043478,2.1462450592885376,1,0,10,5,0.06676217437993925,0.12621617058848722,7,4,39
49,14.63265306122449,3.4107142857142856,1,0,25,3,0.072486386971234,0.12697457226605094,5,18,40
98,27.066326530612244,4.279823269513991,1,0,7,6,0.07586450652579457,0.02744975536739469,9,73,528
97,26.824742268041238,4.304123711340206,1,0,70,54,0.29329402128869086,0.16875180496181685,10,1,39
82,23.04268292682927,4.046672688949112,1,0,44,18,0.015374288830264923,0.12855790947099563,5,2,49
24,8.25,2.3043478260869565,1,0,17,11,0.03629018966025126,0.1684834112637908,5,2,16
92,25.58695652173913,4.034400382226469,1,0,67,1,0.12095398975655136,0.19607748526452395,9,2,26
84,23.523809523809526,4.00057372346529,1,0,31,29,0.12987251845345776,0.026666952438451366,6,49,177
97,26.814432989690722,4.448453608247423,1,0,42,2,0.1923516482601228,0.09031580699752706,6,8,68
20,7.2,2.136842105263158,1,0,7,3,0.0766103087646685,0.09495472825295011,6,10,98
96,26.572916666666668,4.26359649122807,1,0,36,23,0.012444296376615172,0.06544134613795459,5,21,90
69,19.768115942028984,3.6713554987212276,1,0,46,19,0.08617144263731837,0.15907847900276664,7,2,23
73,20.84931506849315,3.639649923896499,1,0,45,16,0.19672118199726232,0.05683008753519945,4,12,63
65,18.76923076923077,3.6278846153846156,1,0,0,0,0.16051970702397683,0.17005974890729345,5,12,85
87,24.316091954022987,4.013365410318097,1,0,48,3,0.05558583203695363,0.0035000632971018187,5,82,2315
63,18.246031746031747,3.531490015360983,1,0,37,0,0.2617963273255587,0.04952421136660434,6,9,113
100,27.58,4.461818181818182,1,0,58,6,0.13606177816086287,0.01666481088714733,5,56,359
27,9.018518518518519,2.452991452991453,1,0,13,13,0.2015287886975659,0.16286702465849556,4,5,21
34,10.926470588235293,2.7076648841354722,1,0,3,2,0.03658149157774195,0.1022402486143665,6,23,284
93,25.741935483870968,4.546049555867228,1,0,41,17,0.23304910217443753,0.13449237189711755,6,3,31
86,24.063953488372093,4.120383036935705,1,0,67,36,0.2528654105341295,0.16025693585223877,5,1,23
57,16.736842105263158,3.4091478696741855,1,0,21,1,0.012453036313191567,0.09167208592101433,7,34,201
25,8.52,2.433333333333333,1,0,6,6,0.24250014754607863,0.03813525168393881,4,14,206
99,27.2979797979798,4.524840239125953,1,0,74,43,0.09652826548301253,0.12087126697484388,9,1,42
27,9.055555555555555,2.49002849002849,1,0,9,8,0.25418081639390566,0.17678955044911598,4,3,18
26,8.826923076923077,2.4461538461538463,1,0,6,1,0.20870143598965574,0.15897751324645548,6,7,22
30,9.85,2.5908045977011493,1,0,12,8,0.26814349879436866,0.1331495567222319,6,1,25
68,19.485294117647058,3.722124670763828,1,0,36,13,0.22046168378988992,0.19182331196986668,7,4,18
63,18.214285714285715,3.7235023041474653,1,0,39,30,0.09120518775684208,0.19322123503101704,4,1,14
75,21.313333333333333,3.76,1,0,39,22,0.20003731079250098,0.09486212736029145,6,5,45
96,26.572916666666668,4.312061403508772,1,0,68,32,0.1486731276364649,0.1990687174786401,5,3,24
93,25.795698924731184,4.247078073866293,1,0,76,22,0.1701860857181724,0.17907633696426573,7,1,21
53,15.716981132075471,3.298258345428157,1,0,15,7,0.11527816885695132,0.12308669209310848,4,5,28
27,9.092592592592593,2.433048433048433,1,0,10,9,0.1682047091483894,0.17279731099160758,6,5,19
39,12.217948717948717,2.838056680161943,1,0,23,9,0.06567640454227841,0.05913433541531046,7,14,73
29,9.586206896551724,2.62807881773399,1,0,18,10,0.07239339302940608,0.1577385638898589,5,4,13
71,20.246478873239436,3.8688128772635815,1,0,17,6,0.22844553613306398,0.058743507055798255,5,9,87
58,17.025862068965516,3.3121597096188746,1,0,10,1,0.1692073102926143,0.12648389700387444,6,3,32
93,25.817204301075268,4.24590930341281,1,0,73,10,0.2592136504395943,0.03808727818925144,5,4,111
95,26.310526315789474,4.268980963045912,1,0,4,4,0.13271333213970224,0.032144058874366936,4,59,279
87,24.32758620689655,4.165463779738038,1,0,22,5,0.01024039949759384,0.1447761928150981,7,4,23
27,9.12962962962963,2.398860398860399,1,0,20,8,0.09806465919071611,0.1421026124463671,6,2,18
80,22.5625,3.925632911392405,1,0,16,15,0.13834023610487162,0.05456598490514511,5,39,136
96,26.552083333333332,4.421271929824561,1,0,22,2,0.03437638287699559,0.15531855697688146,7,1,23
97,26.84536082474227,4.219931271477663,1,0,5,1,0.28501601523533343,0.1417031466159686,5,9,39
89,24.797752808988765,4.275536261491317,1,0,32,32,0.12329373161203509,0.17922087548780438,5,4,29
32,10.34375,2.6713709677419355,1,0,17,0,0.28037924241088774,0.11057142886350407,5,3,55
22,7.840909090909091,2.168831168831169,1,0,4,1,0.25925066933762886,0.11150142670957137,4,11,39
40,12.375,2.985897435897436,1,0,20,9,0.14563971033126982,0.032590124353948105,3,16,90
93,25.806451612903224,4.327489481065919,1,0,77,26,0.03098319931282524,0.15256298206977012,7,2,32
89,24.831460674157302,4.056179775280899,1,0,28,26,0.21996998711588284,0.1640664434911757,4,3,30
48,14.4375,3.1879432624113475,1,0,26,10,0.23622667642404552,0.14638331697451562,5,4,24
64,18.4375,3.8095238095238093,1,0,18,18,0.23360840801180954,0.00539808655178169,7,51,673
