K,epidemic peak,cost fun,delta fun
110.5,691.8,1272.7674027339642,1
111.0,661.2,1244.796214511041,1
111.5,698.6,1284.825026288118,1
112.0,718.2,1307.0538380651947,1
112.5,683.8,1275.2826498422712,1
113.0,651.8,1245.9114616193478,1
113.5,662.4,1259.1402733964248,1
114.0,670.6,1269.9690851735018,1
114.5,684.2,1286.1978969505785,1
115.0,691.6,1296.226708727655,1
115.5,709.0,1316.255520504732,1
116.0,693.4,1303.2843322818085,1
116.5,681.8,1294.3131440588854,1
117.0,711.0,1326.141955835962,1
117.5,701.6,1319.3707676130389,1
118.0,648.8,1269.1995793901156,1
118.5,656.6,1279.6283911671926,1
119.0,655.0,1280.657202944269,1
119.5,644.6,1272.8860147213459,1
120.0,681.4,1312.3148264984227,1
120.5,714.4,1347.9436382754993,1
121.0,711.4,1347.5724500525762,1
121.5,667.0,1305.801261829653,1
122.0,692.0,1333.4300736067298,1
122.5,659.4,1303.4588853838065,1
123.0,712.4,1359.0876971608832,1
123.5,706.6,1355.91650893796,1
124.0,698.2,1350.1453207150369,1
124.5,706.0,1360.5741324921137,1
125.0,667.4,1324.6029442691902,1
125.5,632.8,1292.6317560462671,1
126.0,724.6,1387.0605678233437,1
126.5,648.6,1313.6893796004206,1
127.0,694.8,1362.5181913774973,1
127.5,690.2,1360.5470031545742,1
128.0,679.6,1352.575814931651,1
128.5,669.2,1344.8046267087277,1
129.0,698.6,1376.8334384858044,1
129.5,725.4,1406.262250262881,1
130.0,654.8,1338.291062039958,1
130.5,646.6,1332.7198738170346,1
131.0,676.6,1365.3486855941114,1
131.5,675.8,1367.177497371188,1
132.0,681.4,1375.4063091482649,1
132.5,660.0,1356.6351209253417,1
133.0,693.0,1392.2639327024185,1
133.5,698.6,1400.4927444794953,1
134.0,666.8,1371.321556256572,1
134.5,650.8,1357.9503680336488,1
135.0,692.0,1401.7791798107255,1
135.5,678.0,1390.4079915878024,1
136.0,706.6,1421.6368033648791,1
136.5,685.0,1402.6656151419559,1
137.0,690.2,1410.4944269190328,1
137.5,682.8,1405.7232386961093,1
138.0,680.8,1406.352050473186,1
138.5,674.2,1402.380862250263,1
139.0,702.0,1432.8096740273395,1
139.5,699.8,1433.2384858044163,1
140.0,660.8,1396.8672975814932,1
140.5,694.6,1433.29610935857,1
141.0,691.2,1432.5249211356468,1
141.5,698.8,1442.7537329127235,1
142.0,693.0,1439.5825446898002,1
142.5,684.2,1433.411356466877,1
143.0,708.2,1460.0401682439538,1
143.5,682.2,1436.6689800210306,1
144.0,679.4,1436.4977917981073,1
144.5,666.0,1425.726603575184,1
145.0,693.4,1455.7554153522608,1
145.5,682.0,1446.9842271293376,1
146.0,672.2,1439.8130389064145,1
146.5,732.0,1502.241850683491,1
147.0,691.0,1463.870662460568,1
147.5,661.0,1436.4994742376446,1
148.0,669.2,1447.3282860147215,1
148.5,679.8,1460.557097791798,1
149.0,743.8,1527.1859095688749,1
149.5,689.2,1475.2147213459516,1
150.0,663.6,1452.2435331230286,1
150.5,698.4,1489.6723449001051,1
151.0,674.4,1468.301156677182,1
151.5,694.2,1490.7299684542586,1
152.0,685.4,1484.5587802313353,1
152.5,728.2,1529.9875920084123,1
153.0,701.8,1506.2164037854889,1
153.5,701.8,1508.8452155625657,1
154.0,654.8,1464.4740273396424,1
154.5,683.8,1496.1028391167192,1
155.0,722.6,1537.531650893796,1
155.5,679.2,1496.7604626708728,1
156.0,694.2,1514.3892744479494,1
156.5,687.4,1510.2180862250261,1
157.0,673.0,1498.446898002103,1
157.5,680.0,1508.0757097791798,1
158.0,656.6,1487.3045215562565,1
158.5,669.0,1502.3333333333335,1
159.0,662.0,1497.9621451104101,1
159.5,696.0,1534.5909568874868,1
160.0,691.2,1532.4197686645637,1
160.5,686.6,1530.4485804416404,1
161.0,668.8,1515.277392218717,1
161.5,669.4,1518.5062039957938,1
162.0,683.8,1535.5350157728706,1
162.5,708.0,1562.3638275499475,1
163.0,650.6,1507.5926393270242,1
163.5,729.8,1589.421451104101,1
164.0,692.2,1554.4502628811779,1
164.5,672.8,1537.6790746582544,1
165.0,683.2,1550.7078864353311,1
165.5,650.4,1520.5366982124078,1
166.0,728.0,1600.7655099894846,1
166.5,674.8,1550.1943217665614,1
167.0,685.6,1563.6231335436382,1
167.5,709.0,1589.6519453207152,1
168.0,661.8,1545.0807570977918,1
168.5,626.0,1511.9095688748685,1
169.0,683.2,1571.7383806519454,1
169.5,660.2,1551.367192429022,1
170.0,685.4,1579.1960042060987,1
170.5,674.2,1570.6248159831757,1
171.0,691.4,1590.4536277602524,1
171.5,701.6,1603.282439537329,1
172.0,660.0,1564.311251314406,1
172.5,701.6,1608.5400630914828,1
173.0,680.8,1590.3688748685595,1
173.5,681.4,1593.5976866456363,1
174.0,672.2,1587.0264984227128,1
174.5,691.0,1608.4553101997897,1
175.0,717.0,1637.0841219768663,1
175.5,706.0,1628.7129337539432,1
176.0,669.6,1594.94174553102,1
