proba is,proba sr,nombre hpb,nombre shp,pic,cumul inf,nb changements sr,nb changements is
0.1,0.02,3,2,195.66666666666666,80996.66666666667,187.0,7310.0
0.1,0.02,3,3,194.0,71546.0,186.0,6518.333333333333
0.1,0.02,3,4,192.33333333333334,83399.33333333333,184.33333333333334,7533.666666666667
0.1,0.02,4,0,192.0,73753.0,189.33333333333334,6684.0
0.1,0.02,4,1,193.0,72274.33333333333,186.33333333333334,6567.666666666667
0.1,0.02,4,2,192.0,71713.0,187.66666666666666,6504.333333333333
0.1,0.02,4,3,195.0,76706.0,186.66666666666666,7012.0
0.1,0.02,4,4,192.33333333333334,69193.33333333333,184.0,6218.333333333333
0.1,0.02,5,0,194.66666666666666,80311.33333333333,184.66666666666666,7298.0
0.1,0.02,5,1,194.0,77046.33333333333,187.33333333333334,6993.666666666667
0.1,0.02,5,2,194.0,68005.33333333333,184.0,6174.333333333333
0.1,0.02,5,3,194.66666666666666,72607.33333333333,185.0,6541.333333333333
0.1,0.02,5,4,193.0,67969.33333333333,184.0,6176.333333333333
0.1,0.025,1,0,189.0,61390.333333333336,195.66666666666666,5567.333333333333
0.1,0.025,1,1,191.66666666666666,58600.666666666664,191.33333333333334,5356.666666666667
0.1,0.025,1,2,195.33333333333334,63555.0,190.33333333333334,5731.666666666667
0.1,0.025,1,3,195.66666666666666,65226.333333333336,188.66666666666666,5901.666666666667
0.1,0.025,1,4,191.0,57735.333333333336,186.0,5255.333333333333
0.1,0.025,2,0,191.0,66741.0,190.66666666666666,6087.666666666667
0.1,0.025,2,1,194.0,59942.666666666664,191.0,5479.0
0.1,0.025,2,2,193.0,60936.666666666664,193.33333333333334,5498.333333333333
0.1,0.025,2,3,190.66666666666666,57405.666666666664,190.33333333333334,5192.333333333333
0.1,0.025,2,4,187.0,57197.0,189.0,5135.333333333333
0.1,0.025,3,0,191.66666666666666,62674.666666666664,191.0,5643.0
0.1,0.025,3,1,192.66666666666666,60455.333333333336,188.66666666666666,5489.333333333333
