proba is,proba sr,nombre hpb,nombre shp,pic,cumul inf
0.15,0.06,4,2,188,17710
0.15,0.06,4,3,179,16245
0.15,0.06,4,4,171,16231
0.15,0.06,5,0,172,15634
0.15,0.06,5,1,179,16265
0.15,0.06,5,2,184,17237
0.15,0.06,5,3,192,16073
0.15,0.06,5,4,185,19586
0.2,0.01,1,0,193,69124
0.2,0.01,1,1,198,86811
0.2,0.01,1,2,197,87063
0.2,0.01,1,3,199,75084
0.2,0.01,1,4,195,87282
0.2,0.01,2,0,199,79085
0.2,0.01,2,1,196,68030
0.2,0.01,2,2,197,84305
0.2,0.01,2,3,200,92307
0.2,0.01,2,4,200,73045
0.2,0.01,3,0,194,75138
0.2,0.01,3,1,197,85438
0.2,0.01,3,2,199,90693
0.2,0.01,3,3,199,89177
0.2,0.01,3,4,197,69572
0.2,0.01,4,0,197,86918
0.2,0.01,4,1,195,89910
0.2,0.01,4,2,199,79759
0.2,0.01,4,3,193,90008
0.2,0.01,4,4,196,82790
0.2,0.01,5,0,198,81556
0.2,0.01,5,1,197,83694
0.2,0.01,5,2,199,69074
0.2,0.01,5,3,200,78037
0.2,0.01,5,4,195,70631
0.2,0.015,1,0,196,58621
0.2,0.015,1,1,195,55533
0.2,0.015,1,2,195,53809
0.2,0.015,1,3,199,49918
0.2,0.015,1,4,192,47657
0.2,0.015,2,0,198,50455
0.2,0.015,2,1,188,55185
0.2,0.015,2,2,194,57003
0.2,0.015,2,3,193,54810
0.2,0.015,2,4,196,59180
0.2,0.015,3,0,194,50386
0.2,0.015,3,1,195,57674
0.2,0.015,3,2,196,53220
0.2,0.015,3,3,193,55683
0.2,0.015,3,4,195,54705
0.2,0.015,4,0,191,50636
0.2,0.015,4,1,191,53713
0.2,0.015,4,2,197,60467
0.2,0.015,4,3,198,56458
0.2,0.015,4,4,193,47046
0.2,0.015,5,0,196,49184
0.2,0.015,5,1,196,57951
0.2,0.015,5,2,196,51438
0.2,0.015,5,3,199,49068
0.2,0.015,5,4,192,50954
0.2,0.02,1,0,188,44976
0.2,0.02,1,1,194,43030
0.2,0.02,1,2,192,39779
0.2,0.02,1,3,192,42643
0.2,0.02,1,4,192,37523
0.2,0.02,2,0,195,38676
0.2,0.02,2,1,196,41752
0.2,0.02,2,2,194,44351
